Catalog number,Species,Wear,Latitude,Longitude,Year,County,State,Element,Deposit
MVZ 64967,N. cinerea,,40.18778,-123.045,1932,Trinity,CA,,
MVZ 65425,N. cinerea,,41.39539,-122.378,1935,Siskiyou,CA,,
MVZ 65495,N. cinerea,,41.40182,-122.454,1934,Siskiyou,CA,,
MVZ 69443,N. cinerea,,41.91065,-122.926,1935,Siskiyou,CA,,
MVZ 69446,N. cinerea,,41.91065,-122.926,1935,Siskiyou,CA,,
MVZ 51944,N. cinerea,,42.7805,-112.3628,1932,Bannock,ID,,
SDSM 117647,N. cinerea,,44.048,-103.33,1969,Pennington,SD,,
SDSM 117648,N. cinerea,,44.048,-103.33,1969,Pennington,SD,,
SDSM 171654,N. cinerea,,44.048,-103.33,1970,Pennington,SD,,
SDSM 171655,N. cinerea,,44.048,-103.33,1970,Pennington,SD,,
SDSM 171656,N. cinerea,,44.048,-103.33,1970,Pennington,SD,,
SDSM 171657,N. cinerea,,44.048,-103.33,1970,Pennington,SD,,
SDSM 171658,N. cinerea,,44.048,-103.33,1970,Pennington,SD,,
SDSM 171659,N. cinerea,,44.048,-103.33,1970,Pennington,SD,,
SDSM 171660,N. cinerea,,44.048,-103.33,1970,Pennington,SD,,
SDSM 171661,N. cinerea,,44.048,-103.33,1969,Pennington,SD,,
SDSM 171662,N. cinerea,,44.057,-103.311,1971,Pennington,SD,,
SDSM 171663,N. cinerea,,44.057,-103.311,1971,Pennington,SD,,
MVZ 195212,N. fuscipes,*,36.27004,-121.064,2000,Monterey,CA,,
MVZ 195213,N. fuscipes,*,36.27004,-121.064,2000,Monterey,CA,,
MVZ 195986,N. fuscipes,,37.11999,-121.1,1999,Merced,CA,,
MVZ 196356,N. fuscipes,,37.86557,-122.152,1999,Contra Costa,CA,,
MVZ 196360,N. fuscipes,,35.7504,-120.773,2000,San Luis Obispo,CA,,
MVZ 196363,N. fuscipes,,35.7504,-120.773,2000,San Luis Obispo,CA,,
MVZ 196371,N. fuscipes,,35.72531,-120.654,2000,San Luis Obispo,CA,,
MVZ 196382,N. fuscipes,*,35.61446,-120.688,2000,San Luis Obispo,CA,,
MVZ 196388,N. fuscipes,,41.70796,-121.981,1998,Siskiyou,CA,,
MVZ 196391,N. fuscipes,,41.70796,-121.981,1998,Siskiyou,CA,,
MVZ 196392,N. fuscipes,,41.66421,-121.94,1998,Siskiyou,CA,,
MVZ 196400,N. fuscipes,*,40.36344,-122.958,1998,Shasta,CA,,
MVZ 196404,N. fuscipes,,39.34502,-122.665,1998,Colusa,CA,,
MVZ 196415,N. fuscipes,*,40.26732,-121.773,1998,Tehama,CA,,
MVZ 196416,N. fuscipes,,38.57045,-122.716,1998,Sonoma,CA,,
MVZ 196417,N. fuscipes,,38.57045,-122.716,1998,Sonoma,CA,,
MVZ 196564,N. fuscipes,,36.84171,-121.476,1999,San Benito,CA,,
MVZ 196565,N. fuscipes,,36.84171,-121.476,1999,San Benito,CA,,
MVZ 196566,N. fuscipes,,36.84171,-121.476,1999,San Benito,CA,,
MVZ 197373,N. fuscipes,,35.08698,-119.776,2000,San Luis Obispo,CA,,
MVZ 206894,N. fuscipes,,37.78888,-122.146,2003,Alameda,CA,,
MVZ 216804,N. fuscipes,,37.9043,-122.175,2004,Contra Costa,CA,,
MVZ 217863,N. fuscipes,,40.66361,-120.793,2006,Lassen,CA,,
MVZ 218015,N. fuscipes,,37.88603,-122.125,2004,Contra Costa,CA,,
MVZ 218708,N. fuscipes,,37.38171,-121.737,2004,Santa Clara,CA,,
MVZ 219021,N. fuscipes,,38.0054,-122.475,2006,Marin,CA,,
MVZ 219027,N. fuscipes,,38.00053,-122.491,2006,Marin,CA,,
MVZ 219537,N. fuscipes,,41.2311,-120.398,2006,Modoc,CA,,
MVZ 219572,N. fuscipes,,41.2311,-120.398,2006,Modoc,CA,,
MVZ 219598,N. fuscipes,,40.38944,-122.183,2007,Tehama,CA,,
MVZ 220636,N. fuscipes,,40.84853,-120.768,2007,Lassen,CA,,
MVZ 221488,N. fuscipes,*,38.90445,-121.015,2008,El Dorado,CA,,
MVZ 221493,N. fuscipes,,38.91554,-121.011,2008,El Dorado,CA,,
MVZ 221496,N. fuscipes,*,38.89364,-121.023,2008,El Dorado,CA,,
MVZ 221614,N. fuscipes,,39.23901,-120.754,2008,Placer,CA,,
MVZ 221625,N. fuscipes,,39.19489,-120.832,2008,Placer,CA,,
MVZ 223078,N. fuscipes,,41.34133,-120.605,2008,Modoc,CA,,
MVZ 225109,N. fuscipes,*,40.9176,-122.24,2008,Shasta,CA,,
MVZ 225235,N. fuscipes,,38.31666,-122.339,2006,Napa,CA,,
MVZ 230700,N. fuscipes,,35.32762,-120.864,2007,San Luis Obispo,CA,,
MVZ 15510,N. lepida,,36.5051,-118.102,1911,Inyo,CA,,
MVZ 16789,N. lepida,,37.80021,-118.529,1912,Mono,CA,,
MVZ 26336,N. lepida,,37.79747,-118.568,1917,Mono,CA,,
MVZ 26337,N. lepida,,36.43934,-117.611,1917,Inyo,CA,,
MVZ 5370,N. lepida,,34.7347,-118.424,1904,Los Angeles,CA,,
MVZ 5371,N. lepida,,34.7347,-118.424,1904,Los Angeles,CA,,
MVZ 5383,N. lepida,,34.7347,-118.424,1904,Los Angeles,CA,,
MVZ 5384,N. lepida,,34.7347,-118.424,1904,Los Angeles,CA,,
MVZ 6182,N. lepida,*,34.3628,-116.858,1905,San Bernardino,CA,,
MVZ 6968,N. lepida,,34.7347,-118.424,1904,Los Angeles,CA,,
MVZ 114334,N. lepida,,40.3619,-120.232,1950,Lassen,CA,,
MVZ 149261,N. lepida,,33.7457,-114.504,1974,Riverside,CA,,
MVZ 149264,N. lepida,,33.7457,-114.504,1974,Riverside,CA,,
MVZ 195260,N. lepida,,32.88713,-114.828,2000,Imperial,CA,,
MVZ 195262,N. lepida,,32.88713,-114.828,2000,Imperial,CA,,
MVZ 195320,N. lepida,,34.574,-115.796,2000,San Bernardino,CA,,
MVZ 195928,N. lepida,,35.61617,-118.253,2000,Kern,CA,,
MVZ 196355,N. lepida,,34.81681,-115.662,1998,San Bernardino,CA,,
MVZ 197160,N. lepida,,41.58266,-120.033,2001,Modoc,CA,,
MVZ 197164,N. lepida,,41.58266,-120.033,2001,Modoc,CA,,
MVZ 198672,N. lepida,*,34.36273,-116.856,2002,San Bernardino,CA,,
MVZ 199789,N. lepida,,35.37369,-118.163,2002,Kern,CA,,
MVZ 199799,N. lepida,,35.46656,-118.235,2002,Kern,CA,,
MVZ 202450,N. lepida,,37.0694,-118.293,2003,Inyo,CA,,
MVZ 215634,N. lepida,,32.88713,-114.828,2005,Imperial,CA,,
MVZ 215704,N. lepida,*,33.79832,-114.561,2005,Riverside,CA,,
MVZ 215714,N. lepida,,33.80568,-116.18,2005,Riverside,CA,,
MVZ 219371,N. lepida,,37.33035,-118.089,2007,Inyo,CA,,
MVZ 220815,N. lepida,,40.52303,-120.473,2007,Lassen,CA,,
MVZ 220820,N. lepida,,40.52438,-120.467,2007,Lassen,CA,,
MVZ 223713,N. lepida,,37.91354,-118.459,2009,Mono,CA,,
MVZ 223717,N. lepida,,37.80368,-118.456,2009,Mono,CA,,
MVZ 42463,N. lepida,*,34.4737,-117.785,1929,Los Angeles,CA,,
MVZ 60231,N. lepida,,35.4609,-118.22,1933,Kern,CA,,
MVZ 77609,N. lepida,,40.3619,-120.232,1936,Lassen,CA,,
MVZ 79371,N. lepida,,41.5816,-120.072,1937,Modoc,CA,,
MVZ 79372,N. lepida,*,41.5816,-120.072,1937,Modoc,CA,,
MVZ 80245,N. lepida,,35.1303,-115.386,1938,San Bernardino,CA,,
MVZ 86546,N. lepida,,35.784,-115.931,1939,San Bernardino,CA,,
MVZ 95024,N. lepida,,33.37102,-114.731,1940,Imperial,CA,,
MVZ 17971,N. macrotis,,39.57029,-121.555,1912,Butte,CA,,
MVZ 196593,N. macrotis,,39.04221,-120.71,1998,Placer,CA,,
MVZ 196594,N. macrotis,,39.04221,-120.71,1998,Placer,CA,,
MVZ 24678,N. macrotis,,38.75449,-120.635,1916,El Dorado,CA,,
MVZ 17966,N. macrotis,,38.40863,-120.919,1912,Amador,CA,,
MVZ 207663,N. macrotis,,37.66281,-120.48,2004,Stanislaus,CA,,
MVZ 207681,N. macrotis,,37.51207,-120.398,2004,Merced,CA,,
MVZ 116723,N. macrotis,,37.09064,-119.721,1952,Madera,CA,,
MVZ 24990,N. macrotis,,36.7938,-118.581,1916,Fresno,CA,,
MVZ 108716,N. macrotis,,36.66462,-121.741,1937,Monterey,CA,,
MVZ 16760,N. macrotis,,36.58926,-118.11,1912,Inyo,CA,,
MVZ 196422,N. macrotis,,36.37851,-121.557,1999,Monterey,CA,,
MVZ 108722,N. macrotis,*,36.31007,-121.568,1936,Monterey,CA,,
MVZ 231876,N. macrotis,,36.11381,-117.757,2015,Inyo,CA,,
MVZ 108748,N. macrotis,,36.01413,-121.515,1937,Monterey,CA,,
MVZ 222721,N. macrotis,,35.96326,-118.231,2008,Tulare,CA,,
MVZ 196504,N. macrotis,*,35.89846,-121.259,2001,Monterey,CA,,
MVZ 196533,N. macrotis,,35.7504,-120.773,2000,San Luis Obispo,CA,,
MVZ 196538,N. macrotis,,35.7504,-120.773,2000,San Luis Obispo,CA,,
MVZ 196540,N. macrotis,,35.7504,-120.773,2000,San Luis Obispo,CA,,
MVZ 196542,N. macrotis,,35.7504,-120.773,2000,San Luis Obispo,CA,,
MVZ 14052,N. macrotis,,35.38948,-120.607,1911,San Luis Obispo,CA,,
MVZ 107648,N. macrotis,,35.34967,-119.765,1947,Kern,CA,,
MVZ 196780,N. macrotis,,34.88378,-118.658,2001,Kern,CA,,
MVZ 5548,N. macrotis,,34.818,-118.884,1904,Ventura,CA,,
MVZ 5340,N. macrotis,*,34.812,-119.146,1904,Ventura,CA,,
MVZ 198325,N. macrotis,,34.79703,-118.861,2001,Los Angeles,CA,,
MVZ 196556,N. macrotis,*,34.61285,-119.927,1998,Santa Barbara,CA,,
MVZ 3925,N. macrotis,,34.441,-119.26,1906,Ventura,CA,,
MVZ 125883,N. macrotis,,34.41816,-117.789,1955,Los Angeles,CA,,
MVZ 125890,N. macrotis,,34.28244,-117.166,1953,San Bernardino,CA,,
MVZ 3926,N. macrotis,*,34.27364,-119.266,1906,Ventura,CA,,
MVZ 5544,N. macrotis,,34.26928,-118.336,1904,Los Angeles,CA,,
MVZ 176217,N. macrotis,,34.13631,-116.768,1974,San Bernardino,CA,,
MVZ 114487,N. macrotis,,34.10341,-118.444,1951,Los Angeles,CA,,
MVZ 84558,N. macrotis,,33.88442,-116.994,1938,Riverside,CA,,
MVZ 2352,N. macrotis,,33.67608,-117.517,1908,Orange,CA,,
MVZ 7573,N. macrotis,,33.21,-116.6,1909,San Diego,CA,,
MVZ 196535,N. macrotis,,35.7503974,-120.773,2000,San Luis Obispo,CA,,
MVZ 201919,N. macrotis,,37.71515,-119.665,2003,Mariposa,CA,,
LACMP23 28509,unknown,,34.0638,-118.355,,Los Angeles,CA,left m1,1
LACMP23 31175,unknown,,34.0638,-118.355,,Los Angeles,CA,left m1,14
LACMP23 31976,unknown,,34.0638,-118.355,,Los Angeles,CA,left m1,14
LACMP23 33922,unknown,,34.0638,-118.355,,Los Angeles,CA,right m1,14
LACMP23 34168,unknown,,34.0638,-118.355,,Los Angeles,CA,left m1,14
LACMP23 35665,unknown,,34.0638,-118.355,,Los Angeles,CA,right m1,7B
LACMP23 35668,unknown,,34.0638,-118.355,,Los Angeles,CA,right m1,7B
LACMP23 35780,unknown,,34.0638,-118.355,,Los Angeles,CA,right m1,7B
LACMP23 35782,unknown,,34.0638,-118.355,,Los Angeles,CA,left m1,7B
LACMP23 35806,unknown,,34.0638,-118.355,,Los Angeles,CA,right m1,7B
LACMP23 35934,unknown,,34.0638,-118.355,,Los Angeles,CA,left m1,7B
LACMP23 36312,unknown,,34.0638,-118.355,,Los Angeles,CA,right m1,7B
LACMP23 40158,unknown,,34.0638,-118.355,,Los Angeles,CA,right m1,13
LACMP23 40402,unknown,,34.0638,-118.355,,Los Angeles,CA,left m1,13
LACMP23 40662,unknown,,34.0638,-118.355,,Los Angeles,CA,right m1,14
LACMP23 40663,unknown,,34.0638,-118.355,,Los Angeles,CA,left dentary with m1-m2,14
